category,title,section,content,step_order,image_files
sop,JHKC Kiosk Opening,,"Switch on the terminal machine, press the return indicator, and press the Maybank logo indicator to start the terminal.",11,
sop,JHKC Kiosk Opening,,Charge two power banks.,12,
sop,JHKC Kiosk Opening,,Turn on all device power and switch on all lights.,13,sop_images/kiosk_opening/step13_1.jpg|sop_images/kiosk_opening/step13_2.jpg
sop,JHKC Kiosk Opening,,Use hook to take down the blind next to the storeroom and place it inside the storeroom. Use hook to attach the blind cord to the pillar.,14,sop_images/kiosk_opening/step14_1.jpg|sop_images/kiosk_opening/step14_2.jpg|sop_images/kiosk_opening/step14_3.jpg
sop,JHKC Kiosk Opening,,"Set up the testers, tester spoon and tissue for both tester areas, then make sure each tester area has a sales kit.",15,sop_images/kiosk_opening/step15_1.jpg|sop_images/kiosk_opening/step15_2.jpg|sop_images/kiosk_opening/step15_3.jpg
sop,JHKC Kiosk Opening,,Set up sampling.,16,
sop,JHKC Kiosk Opening,,Arrange honey juices in fridge and check the expiry date of tester.,17,
sop,JHKC Kiosk Opening,,Set up Juice Tower.,18,
sop,JHKC Kiosk Opening,,Update daily record sheet beside the fridge in storeroom.,19,sop_images/kiosk_opening/step19_1.jpg
sop,JHKC Kiosk Opening,,Update juice production calendar on another side of the fridge in storeroom.,20,sop_images/kiosk_opening/step20_1.jpg
sop,JHKC Kiosk Opening,,Unlock side door for ice supply.,21,
sop,JHKC Kiosk Opening,,Check preorder.,22,
sop,JHKC Kiosk Opening,,Take photo for opening.,23,
sop,Kiosk Closing Check List,Stocktake,Restock all items up to quota.,1,
sop,Kiosk Closing Check List,Stocktake,Open Important Notes of Stocktake before starting the stocktake process.,2,
sop,Kiosk Closing Check List,Stocktake,Record all items taken on the stock indicator white board and deduct them from the previous total.,3,sop_images/kiosk_closing/stocktake/step3_1.jpg
sop,Kiosk Closing Check List,Stocktake,Open the stocktake Google Sheet link to update the stocktake record.,4,
sop,Kiosk Closing Check List,Stocktake,Add all items written in the stock indicator white board and record them in the storeroom row in the Google Sheet.,5,sop_images/kiosk_closing/stocktake/step5_1.jpg
sop,Kiosk Closing Check List,Stocktake,"Count items 1 to 14 and 23 to 34. If an item is listed as estimate, estimate the number to save time.",6,sop_images/kiosk_closing/stocktake/step6_1.jpg
sop,Kiosk Closing Check List,Stocktake,"Count NR by first measuring all NR in the first layer with black tie, then add the full NR together with the measured NR in black tie. Refer to the NR record. Example: if CB (6000) has two full jerry cans, calculate 6000 x 2 = 12000, then add the CB jerry can with black tie. Review the Jerry Can Stocktake Guide if needed.",7,sop_images/kiosk_closing/stocktake/step7_1.jpg|sop_images/kiosk_closing/stocktake/step7_2.jpg
sop,Kiosk Closing Check List,Stocktake,Count all stock from Cabinet A to Cabinet M and record it in the Google Sheet. Refer to Furniture Key Labelling if needed.,8,
sop,Kiosk Closing Check List,Stocktake,Take a screenshot of the stocktake result and send it in JH 14-Kuching AJSB.,9,
sop,Kiosk Closing Check List,Settlement,Update 10pm sales. Refer to Sales Report if needed.,10,
sop,Kiosk Closing Check List,Settlement,Print summary report.,11,
sop,Kiosk Closing Check List,Settlement,"Check sales amount for credit, debit, Maybank QR or others such as Amex, Union Pay, and Online Transfer.",12,
sop,Kiosk Closing Check List,Settlement,Print terminal settlement once tally. Refer to Credit Card Settlement if needed.,13,
sop,Kiosk Closing Check List,Settlement,Key in tester and staff drinks.,14,
sop,Kiosk Closing Check List,Settlement,Complete Daily Sales Report. Refer to Shopify POS app Closing and Updated Daily Sales Report for the step-by-step guide if needed.,15,
sop,Kiosk Closing Check List,Settlement,"Stapler Shopify settlement, terminal settlement, and merchant copy receipts. Store them in a plastic bag with the correct date label in the lower level of cabinet F2. Use the stapler in the stationary box on level one of cabinet E3.",16,sop_images/kiosk_closing/settlement/step7_1.jpg
sop,Kiosk Closing Check List,Settlement,Download Daily Sales Report from email and send it to JH 14-Kuching AJSB.,17,
sop,Kiosk Closing Check List,Settlement,Take picture of Staff report and send it to JH 14-Kuching AJSB.,18,
sop,Kiosk Closing Check List,Device,"Keep and charge 2 terminal machines and 2 tablets in cabinet F3. Format: Powerbank A for 1 tablet and 1 terminal, Powerbank B for 1 tablet, and black charger at the back for 1 terminal.",19,sop_images/kiosk_closing/device/step1_1.jpg
sop,Kiosk Closing Check List,Device,Shut down Kodak and turn off the switch in E3. Kodak is currently in Aeon.,20,
sop,Kiosk Closing Check List,Device,Turn off printer and turn off the switch in E3.,21,
sop,Kiosk Closing Check List,Device,Bee Leader must restart the CCTV hard drive every Monday and Friday.,22,sop_images/kiosk_closing/device/step4_1.jpg
sop,Kiosk Closing Check List,Additional,"Turn off outdoor switches at 5 locations: under Citrus Bloom, behind cabinet L, behind cabinet K, under candle rack, and behind chiller. Under Citrus Bloom, open the wooden block and leave it aside; do not put it back so it can cool down from high temperature.",23,sop_images/kiosk_closing/additional/step1_1.jpg|sop_images/kiosk_closing/additional/step1_2.jpg|sop_images/kiosk_closing/additional/step1_3.jpg|sop_images/kiosk_closing/additional/step1_4.jpg|sop_images/kiosk_closing/additional/step1_5.jpg
sop,Kiosk Closing Check List,Additional,Place all outdoor items within kiosk area.,24,
sop,Kiosk Closing Check List,Additional,Keep own belongings in your shelf and out of sight.,25,
sop,Kiosk Closing Check List,Additional,Bee Leader must make sure all keys are returned in booth storage.,26,
sop,Kiosk Closing Check List,Additional,Lock the storeroom back door.,27,sop_images/kiosk_closing/additional/step5_1.jpg
sop,Kiosk Closing Check List,Additional,Pull down all blinds (12).,28,
sop,Kiosk Closing Check List,Additional,Lock all blinds (12). Take the locks from the bottom layer of cabinet E3.,29,
sop,Kiosk Closing Check List,Additional,Lock all cabinets according to Furniture Key Labelling. Take the keys from the bottom layer of cabinet E3.,30,
sop,Kiosk Closing Check List,Additional,Drain ice box and move it to the storeroom door. Refer to Ice Bin Daily Closing Checklist and Draining Ice Tong if needed.,31,
sop,Kiosk Closing Check List,Additional,Wash Juice Tower. Refer to Washing Juice Tower if needed.,32,
sop,Kiosk Closing Check List,Additional,Take photo of closed kiosk.,33,
sop,Kiosk Closing Check List,Additional,Complete Daily Incentive Declaration.,34,
sop,Kiosk Closing Check List,Additional,Clock out using TimeTec.,35,
checklist,Kuching Booth Closing dustbin check list,Booth Closing Dustbin,Main dustbin,1,sop_images/kuching_booth_closing_dustbin/step1_1.jpg
checklist,Kuching Booth Closing dustbin check list,Booth Closing Dustbin,Raw Honey dustbin corner,2,sop_images/kuching_booth_closing_dustbin/step2_1.jpg|sop_images/kuching_booth_closing_dustbin/step2_2.jpg
checklist,Kuching Booth Closing dustbin check list,Booth Closing Dustbin,Honey Juice sampling corner,3,sop_images/kuching_booth_closing_dustbin/step3_1.jpg
notes,Opening Notes,,Clean the sink.,1,sop_images/opening_notes/step1_1.jpg
notes,Opening Notes,,Keep the juice preparation area clean and neat.,2,sop_images/opening_notes/step2_1.jpg
notes,Opening Notes,,Make sure the storage area is well arranged.,3,sop_images/opening_notes/step3_1.jpg
notes,Opening Notes,,Clean the cashier area with cloths.,4,sop_images/opening_notes/step4_1.jpg
notes,Opening Notes,,Make sure the front of the store looks like the reference photo.,5,sop_images/opening_notes/step5_1.jpg
notes,Opening Notes,,Make sure the lights are on at the rack near the escalator area.,6,sop_images/opening_notes/step6_1.jpg
notes,Opening Notes,,Keep the honey tester area clean and tidy at all times.,7,sop_images/opening_notes/step7_1.jpg
notes,Opening Notes,Devices,Register and start tracking session on both iPads.,8,sop_images/opening_notes/step8_1.jpg|sop_images/opening_notes/step8_2.jpg
notes,Opening Notes,Display,"This rack must have ribbons for all first gift items facing outside, for both Rack 1 and Rack 2.",9,sop_images/opening_notes/step9_1.jpg|sop_images/opening_notes/step9_2.jpg
notes,Opening Notes,Honey Area,"Maintain arrangements for the honey area, including Daily and Infused Series Honey and Premium Honey Series.",10,sop_images/opening_notes/step10_1.jpg|sop_images/opening_notes/step10_2.jpg|sop_images/opening_notes/step10_3.jpg
notes,Opening Notes,Sales Kits,The sales kits must always be kept in this drawer and not on top of the honey tester table.,11,sop_images/opening_notes/step11_1.jpg
notes,Opening Notes,,Keep the door closed at all times.,12,sop_images/opening_notes/step12_1.jpg
notes,Opening Notes,Chiller,Make sure the juice chiller is always full at the first line facing the customer.,13,sop_images/opening_notes/step13_1.jpg
notes,Opening Notes,Photo Submission,"Take all above photos from 1 to 13 and send them into the High Definition WhatsApp Group JH 14 - Kuching AJSB. The photos taken and submitted into the group must follow the required size, angle, and tidiness standards of the area.",14,
notes,Opening Notes,VM Area,This VM area must be kept clean from dust. Do not take from this rack for sales unless stock is depleted in store.,15,sop_images/opening_notes/step15_1.jpg
notes,Opening Notes,,Make sure there is always a gap between this cabinet for customers to walk in.,16,sop_images/opening_notes/step16_1.jpg
notes,Opening Notes,Proper Way to Serve Customer,Do not stand side by side. Show the customer where to put the used tester stirrer.,17,sop_images/opening_notes/step17_1.jpg
sop,Receipt printer preparation for opening,,Connect the power cable.,1,
sop,Receipt printer preparation for opening,,Check iPad Bluetooth connection.,2,
sop,Receipt printer preparation for opening,Test Print,Test print one existing receipt by clicking Orders.,3,sop_images/receipt_printer_opening/step3_1.jpg
sop,Receipt printer preparation for opening,Test Print,Click any one of the transaction.,4,sop_images/receipt_printer_opening/step4_1.jpg
sop,Receipt printer preparation for opening,Test Print,Click Receipt.,5,sop_images/receipt_printer_opening/step5_1.jpg
sop,Receipt printer preparation for opening,Test Print,Click Print Receipt.,6,
material,Sales Closing Reminders Material,Sales Closing Reminders,Honey Juice,1,sop_images/sales_closing_reminders/step1_1.jpg
material,Sales Closing Reminders Material,Sales Closing Reminders,Raw Honey,2,sop_images/sales_closing_reminders/step2_1.jpg
material,Sales Closing Reminders Material,Sales Closing Reminders,Return Bottles,3,sop_images/sales_closing_reminders/step3_1.jpg|sop_images/sales_closing_reminders/step3_2.jpg
sop,Shopify POS app Closing,,Login iPad using password 0000.,1,
sop,Shopify POS app Closing,,Click Shopify POS app.,2,sop_images/shopify_closing/step2_1.jpg
sop,Shopify POS app Closing,,Login using your PIN.,3,sop_images/shopify_closing/step3_1.jpg
sop,Shopify POS app Closing,,Click as sample below.,4,sop_images/shopify_closing/step4_1.jpg
sop,Shopify POS app Closing,Tracking Session,Click View Open Session.,5,sop_images/shopify_closing/step5_1.jpg
sop,Shopify POS app Closing,Tracking Session,Click End Tracking Session.,6,sop_images/shopify_closing/step6_1.jpg
sop,Shopify POS app Closing,Tracking Session,Click Next.,7,sop_images/shopify_closing/step7_1.jpg
sop,Shopify POS app Closing,Tracking Session,Click Next.,8,sop_images/shopify_closing/step8_1.jpg
sop,Shopify POS app Closing,Tracking Session,Click Next.,9,sop_images/shopify_closing/step9_1.jpg
sop,Shopify POS app Closing,Tracking Session,Click Next.,10,sop_images/shopify_closing/step10_1.jpg
sop,Shopify POS app Closing,Tracking Session,Click Print.,11,sop_images/shopify_closing/step11_1.jpg
sop,Shopify POS app Closing,,Repeat step 1 to step 10 for the second iPad.,12,
sop,Shopify POS app Closing,,Take a photo of the page in step 11 for the second iPad for the Daily Sales Report Shopify Settlement attachment.,13,
sop,Shopify POS app Opening,,Login iPad using password 0000.,1,
sop,Shopify POS app Opening,,Click Shopify POS app.,2,sop_images/shopify_opening/step2_1.jpg
sop,Shopify POS app Opening,,Login using your PIN.,3,sop_images/shopify_opening/step3_1.jpg
sop,Shopify POS app Opening,,Click More.,4,sop_images/shopify_opening/step4_1.jpg
sop,Shopify POS app Opening,,Click Register.,5,sop_images/shopify_opening/step5_1.jpg
sop,Shopify POS app Opening,,Click Start tracking session.,6,sop_images/shopify_opening/step6_1.jpg
sop,Shopify POS app Opening,,Click Save.,7,
sop,Spring Roadshow Closing List,,Wash the towels. Refer to Soak cloth if needed.,1,
sop,Spring Roadshow Closing List,Stocktake,"Stock take booth using the provided link, screenshot the page, and send the screenshot in high definition into the group.",2,
sop,Spring Roadshow Closing List,,"Refill tester cup, tester spoon, and tissue.",3,
sop,Spring Roadshow Closing List,,Restock raw honey and honey gifts accordingly. Remember to inform the back end coordinator.,4,
sop,Spring Roadshow Closing List,,Key in Drinks Tester and Staff drinks in one bill in Shopify POS.,5,
sop,Spring Roadshow Closing List,Settlement,"Complete settlement. Refer to Credit Card Settlement, Shopify POS app Closing, and Daily Sales Report if needed.",6,
sop,Spring Roadshow Closing List,Settlement,Take a shot of staff’s sales report for filling up the daily incentive form purposes and send it to the group.,7,
sop,Spring Roadshow Closing List,Settlement,"Stapler all receipts and put them inside the plastic bag provided on the shelf. Use the stapler shown, refer to How to keep Credit card receipt and settlement slip if needed, close both wood cabins after settlement is done, and send settlement PDF from email into the group.",8,sop_images/spring_closing/step8_1.jpg
sop,Spring Roadshow Closing List,Devices,Keep terminal machine and iPad stand into booth storage.,9,sop_images/spring_closing/step9_1.jpg|sop_images/spring_closing/step9_2.jpg
sop,Spring Roadshow Closing List,Devices,Charge both iPads using one power bank and put them into booth storage.,10,sop_images/spring_closing/step10_1.jpg
sop,Spring Roadshow Closing List,Devices,Charge weighing scale using another power bank and put it inside booth storage.,11,
sop,Spring Roadshow Closing List,,Refer to What to close every night? (Booth).,12,
sop,Spring Roadshow Closing List,Chiller,Lock chiller. Refer to How to lock the chiller if needed.,13,
sop,Spring Roadshow Closing List,Display Closing,Arrange display for closing by removing items from the top area.,14,sop_images/spring_closing/step14_1.jpg|sop_images/spring_closing/step14_2.jpg
sop,Spring Roadshow Closing List,Display Closing,Put wooden stirrer and wooden spoon on top of counter top.,15,sop_images/spring_closing/step15_1.jpg
sop,Spring Roadshow Closing List,Display Closing,Put two trays and honey description together on top of booth storage.,16,sop_images/spring_closing/step16_1.jpg
sop,Spring Roadshow Closing List,Display Closing,"Put Jungle House tissue, small rubbish bin, honey description stand, tester cup, and QR code together on top of booth storage.",17,sop_images/spring_closing/step17_1.jpg|sop_images/spring_closing/step17_2.jpg
sop,Spring Roadshow Closing List,,Throw rubbish into the main rubbish bin. Refer to Kuching Booth Closing dustbin check list if needed.,18,
sop,Spring Roadshow Closing List,,Keep own belongings in your shelf and out of sight.,19,
sop,Spring Roadshow Closing List,,Bee Leader must make sure all keys are returned in booth storage.,20,
sop,Spring Roadshow Closing List,,"Lock booth storage, take a photo, and send it into the group.",21,sop_images/spring_closing/step21_1.jpg
sop,Spring Roadshow Closing List,,Block 2 booth exits with chairs before covering the booth.,22,
sop,Spring Roadshow Closing List,,Cover fabric. Refer to Cover Fabric if needed.,23,
sop,Spring Roadshow Closing List,,Take a photo of the covered booth and send it into the group.,24,sop_images/spring_closing/step24_1.jpg
sop,Spring Roadshow Closing List,,Complete Daily Incentive Declaration.,25,
sop,Spring Roadshow Closing List,,Clock out using TimeTec.,26,
sop,Spring Roadshow Opening List,,Clock in using TimeTec.,1,
sop,Spring Roadshow Opening List,,Take photo of the covered fabric of booth and send it to the group.,2,sop_images/spring_opening/step2_1.jpg
sop,Spring Roadshow Opening List,,"Open the covered fabric, fold it, and put it inside the box together with all of the clips.",3,
sop,Spring Roadshow Opening List,,Put the box back to its place.,4,sop_images/spring_opening/step4_1.jpg
sop,Spring Roadshow Opening List,,"Set up the QR code and put back the items on the top area: Premium Wooden Spoon, Wooden Stirrer, and manager name card.",5,
sop,Spring Roadshow Opening List,,Take photo of the locked booth storage.,6,sop_images/spring_opening/step6_1.jpg
sop,Spring Roadshow Opening List,,Unlock the booth storage.,7,
sop,Spring Roadshow Opening List,,Take out the charged weighing scale and check the battery level.,8,
sop,Spring Roadshow Opening List,,"Take out the charged iPad, terminal machine, and iPad stand.",9,
sop,Spring Roadshow Opening List,,Charge the powerbanks.,10,
sop,Spring Roadshow Opening List,Terminal Machine,"Switch on the terminal machine, press the return indicator, then press the Maybank logo indicator to start the terminal.",11,
sop,Spring Roadshow Opening List,Terminal Machine,Charge the terminal machine.,12,
sop,Spring Roadshow Opening List,,Wash both frontend and backend cloths and place them back respectively.,13,
sop,Spring Roadshow Opening List,Chiller,"Get the keys from booth storage to unlock the padlock of the chiller, switch on the LED lighting and chiller lights, put the padlock and rope in the cover fabric box, place the keys back in booth storage after use, keep the chiller clean and clear, and arrange honey juices neatly according to date.",14,
sop,Spring Roadshow Opening List,Devices,Turn on all device power. Refer to What to on every morning and How to switch on the Digital photo frame if needed.,15,
sop,Spring Roadshow Opening List,Shopify POS,"Open Shopify POS app for opening, start the session for iPad, and make sure the printer is connected to start operation of the day. Refer to Receipt printer preparation for opening if needed.",16,
sop,Spring Roadshow Opening List,,"Clean the carpet using vacuum, then throw the dust into the rubbish bin.",17,sop_images/spring_opening/step17_1.jpg
sop,Spring Roadshow Opening List,,"Ensure the table, rack, and product display are dust free by using a duster or vacuum.",18,sop_images/spring_opening/step18_1.jpg
sop,Spring Roadshow Opening List,,Clean the tester of raw honey and prevent it from becoming sticky.,19,
sop,Spring Roadshow Opening List,,Make sure the tester bottle bag and recycle bottle bag are nicely folded.,20,sop_images/spring_opening/step20_1.jpg
sop,Spring Roadshow Opening List,Daily Record Sheet,"Clear the daily record sheet, then write the date of the operating day, individual name and shift, staff’s juice, and honey juice’s date by adding 5 days to the operating day. Make sure the daily record sheet does not fall off and stick it back to its place.",21,sop_images/spring_opening/step21_1.jpg
sop,Spring Roadshow Opening List,,Check on the pre-order area. Remove receipts or notes that are irrelevant. Check with the person in charge if unsure.,22,sop_images/spring_opening/step22_1.jpg
sop,Spring Roadshow Opening List,,Keep honey juice station cleaned. Keep serving tray dry and cleaned. Prepare the honey juice tester.,23,
sop,Spring Roadshow Opening List,,Take a photo of the setup booth.,24,sop_images/spring_opening/step24_1.jpg
